TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily,Soil_3in_Avg,Soil_6in_Avg,Soil_12in_Avg,Soil_48in_Avg,Soil_3in_Max,Soil_6in_Max,Soil_12in_Max,Soil_48in_Max,Soil_3in_Min,Soil_6in_Min,Soil_12in_Min,Soil_48in_Min,VW_TmpF_3in_Avg,VW_TmpF_6in_Avg,VW_TmpF_18in_Avg,VW_TmpF_24in_Avg,VW_3in_Avg,Cond_3in_Avg,VW_6in_Avg,Cond_6in_Avg,VW_18in_Avg,Cond_18in_Avg,VW_24in_Avg,Cond_24in_Avg,VW_TmpF_3in_Max,VW_TmpF_6in_Max,VW_TmpF_18in_Max,VW_TmpF_24in_Max,VW_3in_Max,Cond_3in_Max,VW_6in_Max,Cond_6in_Max,VW_18in_Max,Cond_18in_Max,VW_24in_Max,Cond_24in_Max,VW_TmpF_3in_Min,VW_TmpF_6in_Min,VW_TmpF_18in_Min,VW_TmpF_24in_Min,VW_3in_Min,Cond_3in_Min,VW_6in_Min,Cond_6in_Min,VW_18in_Min,Cond_18in_Min,VW_24in_Min,Cond_24in_Min
1/11/2023 23:59,643,12.33,0,0.04,27.38,1/11/2023 12:59,18.98,1/11/2023 23:56,24.52,99.2,1/11/2023 0:01,88.9,1/11/2023 23:54,96.6,16.47,1/11/2023 23:51,0,1/11/2023 2:39,5.781,240.6,WNW,83.08557,7.004837,0.006,0.007,0,,31.03,31.68,37.45,,31.16,31.83,37.59,,30.91,31.54,37.31,31.38,29.45,31.79,30.86,8.05,0.005,8.48,0.008,3.443,0.006,4.982,0.007,31.7,29.78,31.88,31.02,8.15,0.006,8.59,0.009,3.51,0.007,4.99,0.008,30.94,29.13,31.69,30.69,7.95,0.004,8.39,0.007,3.4,0.005,4.97,0.007
1/12/2023 23:59,644,12.28,0,0.04,20.76,1/12/2023 0:26,0.814,1/12/2023 23:57,13.18,90.9,1/12/2023 23:52,77.65,1/12/2023 15:04,84.9,20.72,1/12/2023 0:31,0,1/12/2023 23:32,8.52,312.2,NNW,157.155,7.226738,0.012,0.015,0,,30.98,31.55,37.31,,31.13,31.73,37.45,,30.78,31.3,37.12,31.64,29.8,31.81,31.01,8.11,0.005,8.59,0.008,3.43,0.006,5.025,0.007,31.78,29.93,31.89,31.16,8.15,0.006,8.6,0.009,3.45,0.007,5.06,0.008,31.43,29.6,31.67,30.86,8.06,0.004,8.57,0.007,3.41,0.005,4.97,0.007
1/13/2023 23:59,645,12.3,0,0.04,9.45,1/13/2023 15:28,-10.62,1/13/2023 8:00,1.237,90.9,1/13/2023 0:23,80.1,1/13/2023 8:02,85,17.81,1/13/2023 22:51,0,1/12/2023 23:59,4.195,173.3,SE,191.5236,7.388836,0.007,0.009,0,,30.81,31.41,37.2,,31.03,31.64,37.38,,30.58,31.16,37.04,30.69,29.21,31.78,30.96,7.965,0.005,8.47,0.008,3.423,0.006,5.025,0.007,31.45,29.76,31.89,31.14,8.09,0.006,8.59,0.008,3.45,0.007,5.06,0.008,30.11,28.68,31.69,30.73,7.88,0.004,8.39,0.007,3.37,0.005,4.98,0.007
1/14/2023 23:59,646,12.31,0,0.04,29.94,1/14/2023 22:50,6.588,1/14/2023 0:10,18.16,91.9,1/14/2023 21:08,84.1,1/14/2023 0:57,88.1,20.72,1/14/2023 15:43,2.534,1/14/2023 4:09,10.98,138.1,SE,141.3494,7.338809,0.011,0.015,0,,30.95,31.67,37.26,,31.11,31.85,37.36,,30.77,31.43,37.14,30.01,28.49,31.68,30.68,7.849,0.004,8.33,0.007,3.317,0.006,4.981,0.007,30.3,28.78,31.81,30.89,7.9,0.006,8.41,0.008,3.39,0.007,5,0.008,29.76,28.33,31.53,30.51,7.81,0.004,8.26,0.007,3.25,0.005,4.91,0.007
1/15/2023 23:59,647,12.4,0.01,0.05,33.92,1/15/2023 12:36,26.88,1/15/2023 18:58,30.25,93,1/15/2023 23:40,81.2,1/15/2023 12:20,88,20.72,1/15/2023 0:24,1.416,1/15/2023 19:04,8.95,143.8,SE,154.3389,7.289661,0.017,0.022,0,,31.1,31.8,37.25,,31.23,31.98,37.38,,30.99,31.66,37.07,30.78,28.93,31.61,30.59,7.952,0.005,8.38,0.007,3.174,0.005,4.931,0.007,31.34,29.37,31.72,30.72,8.03,0.006,8.47,0.008,3.27,0.006,4.94,0.008,30.24,28.53,31.49,30.48,7.89,0.004,8.27,0.007,3.14,0.005,4.91,0.006
1/16/2023 23:59,648,12.39,0.04,0.09,33.34,1/16/2023 15:24,28.15,1/16/2023 1:19,31.62,100,1/16/2023 9:26,91.8,1/15/2023 23:59,98,14.01,1/16/2023 19:15,0,1/16/2023 0:50,6.053,84.1,NNE,61.2318,7.328541,0.004,0.004,0,,31.23,31.83,37.21,,31.37,31.93,37.32,,31.07,31.69,37.14,31.62,29.62,31.59,30.76,8.12,0.005,8.51,0.008,3.147,0.005,4.971,0.007,32.19,30.08,31.7,30.99,8.27,0.006,8.65,0.009,3.17,0.006,5,0.008,31.29,29.31,31.44,30.61,8.01,0.004,8.45,0.007,3.13,0.004,4.92,0.006
1/17/2023 23:59,649,12.34,0,0.09,33.12,1/16/2023 23:59,20.08,1/17/2023 23:43,26.4,98.3,1/17/2023 1:13,84.3,1/17/2023 16:00,89.9,15.95,1/17/2023 15:59,2.906,1/17/2023 19:43,8.6,319.2,NW,122.8496,7.536354,0.014,0.018,0,,31.27,31.79,37.13,,31.39,31.93,37.24,,31.17,31.65,37.02,32.42,30.28,31.66,30.98,8.41,0.006,8.73,0.008,3.149,0.005,4.986,0.007,32.72,30.6,31.78,31.14,8.52,0.007,8.84,0.009,3.17,0.006,5.03,0.008,32.09,29.9,31.55,30.77,8.2,0.005,8.58,0.008,3.12,0.004,4.97,0.007
1/18/2023 23:59,650,12.29,0,0.09,30.45,1/18/2023 16:44,18.64,1/18/2023 7:41,24.24,99.2,1/18/2023 22:33,84.4,1/18/2023 14:33,89.3,13.12,1/18/2023 17:23,0,1/18/2023 4:39,4.97,97.5,NNE,106.7257,7.629024,0.012,0.015,0,,31.31,31.8,37.1,,31.48,31.96,37.21,,31.18,31.67,36.99,32.53,30.53,31.73,31.18,8.51,0.006,8.89,0.009,3.194,0.005,5.039,0.008,32.72,30.65,31.83,31.32,8.53,0.007,8.91,0.009,3.22,0.007,5.05,0.008,32.39,30.36,31.61,31.05,8.5,0.005,8.83,0.008,3.13,0.004,4.98,0.007
1/19/2023 23:59,651,12.27,0,0.09,28.67,1/19/2023 1:31,22.08,1/19/2023 23:58,26.06,98.4,1/19/2023 4:59,87.6,1/19/2023 17:42,93.1,17.96,1/19/2023 10:13,3.577,1/19/2023 18:47,9.62,193.6,N,125.7734,7.710492,0.012,0.015,0,,31.38,31.84,37.05,,31.5,31.98,37.15,,31.29,31.74,36.93,32.63,30.63,31.79,31.26,8.54,0.006,8.93,0.009,3.246,0.005,5.042,0.008,32.8,30.76,31.92,31.4,8.59,0.007,8.97,0.01,3.28,0.007,5.11,0.008,32.49,30.51,31.68,31.11,8.5,0.005,8.88,0.009,3.18,0.005,5.03,0.007
1/20/2023 23:59,652,12.22,0,0.09,22.85,1/20/2023 0:06,14,1/20/2023 5:03,19.16,97.8,1/20/2023 18:44,84.7,1/20/2023 4:20,92.4,15.2,1/20/2023 7:17,1.639,1/20/2023 13:11,7.611,290.4,WNW,108.3608,7.900127,0.009,0.011,0,,31.32,31.78,36.99,,31.41,31.88,37.08,,31.19,31.63,36.85,32.6,30.64,31.82,31.33,8.58,0.006,8.96,0.009,3.302,0.006,5.101,0.008,32.83,30.82,31.9,31.49,8.59,0.007,9.03,0.01,3.34,0.007,5.11,0.008,32.37,30.44,31.71,31.18,8.57,0.006,8.89,0.009,3.24,0.005,5.09,0.007
1/21/2023 23:59,653,12.21,0,0.09,22.64,1/21/2023 1:45,15.23,1/21/2023 23:36,19.4,96.5,1/21/2023 5:25,92.3,1/21/2023 22:27,94.9,11.7,1/21/2023 17:30,0,1/21/2023 15:11,5.083,234.7,SW,130.8812,7.989526,0.009,0.01,0,,31.34,31.82,36.96,,31.44,31.95,37.05,,31.23,31.71,36.86,32.4,30.53,31.85,31.35,8.51,0.006,8.96,0.009,3.365,0.006,5.1,0.008,32.55,30.7,31.95,31.49,8.58,0.007,8.97,0.01,3.39,0.007,5.11,0.008,32.26,30.41,31.73,31.17,8.5,0.005,8.95,0.009,3.3,0.005,5.09,0.007
1/22/2023 23:59,654,12.17,0,0.09,17.28,1/22/2023 12:20,4.719,1/22/2023 23:58,13,93.7,1/22/2023 12:19,86.2,1/22/2023 23:55,91,6.483,1/22/2023 18:06,0,1/22/2023 0:14,2.148,219,SW,140.9272,8.162117,0.009,0.009,0,,31.25,31.75,36.89,,31.39,31.93,37.01,,31.07,31.56,36.73,32.22,30.4,31.85,31.33,8.46,0.006,8.92,0.009,3.399,0.006,5.101,0.008,32.5,30.59,31.95,31.47,8.52,0.006,8.97,0.01,3.45,0.007,5.12,0.008,32.02,30.23,31.75,31.2,8.38,0.005,8.88,0.008,3.35,0.005,5.09,0.007
1/23/2023 23:59,655,12.13,0.01,0.1,32.26,1/23/2023 15:22,1.604,1/23/2023 3:14,20.36,99.6,1/23/2023 11:16,85,1/23/2023 3:10,90.6,20.12,1/23/2023 16:56,0.671,1/23/2023 2:25,7.907,255.8,WSW,138.0913,8.108632,0.013,0.015,0,,31.32,31.88,36.9,,31.58,32.13,37.08,,31.05,31.54,36.73,31.8,30.05,31.84,31.24,8.36,0.005,8.81,0.008,3.431,0.006,5.091,0.008,32.1,30.3,31.93,31.42,8.46,0.006,8.91,0.009,3.45,0.007,5.12,0.008,31.5,29.86,31.67,31.1,8.32,0.005,8.76,0.008,3.41,0.005,5.03,0.007
1/24/2023 23:59,656,12.12,0,0.1,27.47,1/24/2023 15:56,-0.289,1/24/2023 7:01,17.02,97.1,1/24/2023 3:03,83.4,1/24/2023 6:56,90.6,15.87,1/24/2023 13:42,0,1/24/2023 1:07,5.082,193.5,SSW,145.6458,8.338414,0.01,0.012,0,,31.24,31.84,36.85,,31.47,32.11,37.03,,30.9,31.51,36.65,31.66,29.91,31.81,31.15,8.31,0.005,8.78,0.008,3.399,0.006,5.042,0.008,32.08,30.16,31.93,31.26,8.4,0.006,8.85,0.009,3.45,0.007,5.06,0.008,31.37,29.58,31.72,31.02,8.19,0.005,8.7,0.008,3.35,0.005,5.03,0.007
1/25/2023 23:59,657,12.2,0,0.1,25.23,1/25/2023 2:54,-0.162,1/25/2023 23:58,15.77,96.3,1/25/2023 1:06,71.49,1/25/2023 15:43,83.7,20.49,1/25/2023 12:35,1.863,1/25/2023 2:07,9.49,292.4,NNW,175.0341,8.516953,0.013,0.018,0,,31.23,31.83,36.8,,31.38,31.99,36.93,,30.95,31.52,36.61,31.72,29.88,31.77,31.06,8.3,0.005,8.76,0.008,3.375,0.006,5.044,0.008,31.93,30.03,31.87,31.17,8.35,0.006,8.79,0.009,3.4,0.007,5.06,0.008,31.49,29.71,31.61,30.88,8.2,0.004,8.71,0.008,3.35,0.005,5.03,0.007
1/26/2023 23:59,658,12.27,0,0.1,22.3,1/26/2023 23:56,-2.882,1/26/2023 5:06,8.75,93.9,1/26/2023 23:36,73.82,1/26/2023 3:28,83.2,28.32,1/26/2023 23:11,0,1/26/2023 0:19,9.9,235.8,SW,162.581,8.704138,0.012,0.014,0,,31.1,31.74,36.77,,31.31,31.99,36.9,,30.89,31.45,36.6,30.91,29.4,31.72,31,8.13,0.005,8.62,0.008,3.342,0.006,5.042,0.007,31.71,30,31.84,31.17,8.27,0.006,8.78,0.009,3.39,0.007,5.06,0.008,30.54,28.93,31.61,30.75,8.07,0.003,8.51,0.007,3.3,0.005,4.98,0.007
1/27/2023 23:59,659,12.34,0,0.1,32.95,1/27/2023 4:27,0.939,1/27/2023 23:58,15.01,100,1/27/2023 2:34,62.89,1/27/2023 15:38,80.4,30.03,1/27/2023 6:07,3.428,1/27/2023 23:05,13.02,293.2,WNW,226.2681,8.845335,0.017,0.023,0,,31.14,31.81,36.74,,31.46,32.15,36.98,,30.87,31.48,36.53,30.9,29.17,31.63,30.78,8.08,0.005,8.52,0.008,3.256,0.005,4.986,0.007,31.2,29.41,31.78,30.97,8.14,0.006,8.54,0.008,3.34,0.006,5,0.008,30.57,28.91,31.51,30.63,8.06,0.004,8.45,0.007,3.18,0.004,4.97,0.007
1/28/2023 23:59,660,12.35,0,0.1,2.207,1/28/2023 14:58,-10.07,1/28/2023 8:38,-4.475,79.45,1/28/2023 8:10,60.5,1/28/2023 20:09,70.67,14.16,1/28/2023 17:04,0,1/28/2023 7:55,6.732,282.6,NNW,208.927,9.107877,0.01,0.013,0,,30.81,31.49,36.62,,30.98,31.68,36.75,,30.64,31.33,36.51,30.31,28.82,31.53,30.66,7.978,0.005,8.44,0.007,3.192,0.005,4.988,0.007,31.05,29.34,31.67,30.83,8.09,0.006,8.54,0.008,3.23,0.006,5,0.008,29.68,28.32,31.35,30.49,7.83,0.004,8.28,0.007,3.12,0.004,4.92,0.007
1/29/2023 23:59,661,12.22,0,0.1,-0.781,1/29/2023 15:50,-19.86,1/29/2023 6:34,-8.16,81.5,1/29/2023 5:55,66.92,1/29/2023 15:14,75.57,13.94,1/29/2023 13:49,2.012,1/29/2023 6:04,6.593,267,W,222.3191,9.248275,0.009,0.012,0,,30.59,31.38,36.57,,30.76,31.61,36.76,,30.35,31.11,36.38,29.03,27.79,31.38,30.35,7.732,0.004,8.19,0.007,3.095,0.005,4.912,0.007,29.73,28.43,31.54,30.63,7.84,0.005,8.34,0.008,3.17,0.006,5,0.008,28.48,27.25,31.23,30.1,7.63,0.003,8.02,0.006,3.02,0.004,4.87,0.006
1/30/2023 23:59,662,12.14,0,0.1,-2.886,1/30/2023 15:38,-23.84,1/30/2023 5:47,-15,81.8,1/30/2023 1:01,59.63,1/30/2023 15:38,73.69,14.61,1/30/2023 14:41,0,1/30/2023 22:05,5.979,239,WSW,260.92,9.423553,0.008,0.011,0,,30.22,31.17,36.49,,30.46,31.42,36.65,,29.97,30.96,36.28,27.6,26.6,31.12,29.87,7.467,0.004,7.813,0.006,2.942,0.004,4.796,0.006,28.52,27.29,31.36,30.15,7.65,0.005,8.04,0.007,3.05,0.006,4.89,0.007,26.92,25.91,30.91,29.52,7.33,0.003,7.65,0.005,2.84,0.004,4.7,0.005
1/31/2023 23:59,663,12.16,0,0.1,3.777,1/31/2023 17:43,-18.69,1/31/2023 0:24,-6.809,85,1/31/2023 23:40,67.01,1/31/2023 15:22,75.7,11.85,1/31/2023 16:16,0,1/31/2023 19:35,5.149,189.8,SSW,255.8165,9.516696,0.011,0.013,0,,29.97,31.17,36.5,,30.14,31.45,36.64,,29.7,30.96,36.36,26.24,25.32,30.7,29.13,7.212,0.003,7.726,0.005,2.764,0.004,4.653,0.005,26.98,26,30.99,29.56,7.35,0.005,7.79,0.006,2.89,0.005,4.72,0.006,25.87,24.9,30.4,28.68,7.13,0.002,7.7,0.004,2.64,0.003,4.59,0.005
2/1/2023 23:59,664,12.2,0,0.1,15.96,2/1/2023 15:00,-13.46,2/1/2023 2:47,0.68,90.9,2/1/2023 23:31,64.06,2/1/2023 12:47,78.61,13.94,2/1/2023 12:11,0,1/31/2023 23:59,3.862,193,SSW,238.1641,9.575663,0.015,0.019,0,,29.69,31.09,36.49,,29.95,31.44,36.72,,29.46,30.84,36.3,25.84,24.72,30.15,28.4,7.112,0.003,7.67,0.005,2.601,0.003,4.539,0.005,26.23,25.05,30.46,28.8,7.16,0.005,7.74,0.005,2.7,0.004,4.61,0.006,25.5,24.45,29.84,28.02,7.06,0.001,7.59,0.004,2.51,0.003,4.48,0.004
2/2/2023 23:59,665,12.36,0,0.1,13.33,2/2/2023 1:03,-19.04,2/2/2023 23:58,-2.569,90,2/1/2023 23:59,54.7,2/2/2023 13:49,68.84,26.16,2/2/2023 7:53,0,2/2/2023 23:50,10.19,307.9,NW,274.2371,9.851453,0.013,0.018,0,,29.47,30.84,36.41,,29.75,31.25,36.72,,29.12,30.4,36.21,25.97,24.67,29.67,27.95,7.09,0.003,7.593,0.005,2.503,0.003,4.484,0.005,26.13,24.82,29.94,28.26,7.11,0.004,7.67,0.005,2.55,0.004,4.5,0.005,25.73,24.43,29.44,27.74,7.07,0.002,7.53,0.004,2.47,0.002,4.42,0.004
2/3/2023 23:59,666,12.22,0,0.1,1.138,2/3/2023 23:56,-19.96,2/3/2023 1:17,-8.01,75.94,2/3/2023 1:28,57.54,2/3/2023 14:34,67.86,22.43,2/3/2023 15:20,0,2/3/2023 1:04,9.57,153.7,SE,188.67,10.01539,0.01,0.013,0,,29.2,30.56,36.37,,29.31,30.73,36.49,,29.09,30.4,36.25,25.04,23.94,29.23,27.51,6.999,0.003,7.412,0.004,2.428,0.003,4.428,0.004,25.8,24.57,29.52,27.94,7.11,0.004,7.55,0.005,2.49,0.003,4.44,0.005,24.76,23.58,28.93,27.04,6.94,0.002,7.3,0.004,2.37,0.002,4.36,0.004
2/4/2023 23:59,667,12.26,0,0.1,26.58,2/4/2023 16:26,-3.464,2/4/2023 5:02,12.42,97.4,2/4/2023 23:44,66.87,2/4/2023 11:13,80.8,15.72,2/3/2023 23:59,0,2/4/2023 4:09,4.5,206.7,SSW,192.6688,9.904202,0.019,0.023,0,,29.26,30.63,36.37,,29.56,30.97,36.61,,29.02,30.37,36.17,24.81,23.52,28.74,26.95,6.936,0.003,7.297,0.004,2.355,0.003,4.374,0.004,25.56,23.94,29.05,27.27,6.98,0.004,7.37,0.005,2.39,0.003,4.38,0.005,24.43,23.27,28.5,26.7,6.88,0.001,7.28,0.004,2.31,0.002,4.36,0.004
2/5/2023 23:59,668,12.45,0,0.1,24.81,2/5/2023 15:11,5.571,2/5/2023 21:23,16.37,97.9,2/5/2023 0:06,64.03,2/5/2023 15:08,84.1,11.55,2/5/2023 7:51,0,2/5/2023 8:59,4.287,236.3,WNW,240.4088,10.07279,0.021,0.025,0,,29.33,30.5,36.27,,29.57,30.79,36.44,,29.18,30.2,36.02,25.99,24.33,28.49,26.86,6.999,0.003,7.318,0.004,2.319,0.003,4.379,0.004,26.69,24.88,28.62,27.04,7.06,0.005,7.36,0.005,2.33,0.004,4.39,0.005,25.42,23.85,28.42,26.66,6.94,0.001,7.27,0.004,2.29,0.002,4.36,0.003
